gen,idx,w_pnl,w_sortino,w_mdd,fitness,eval_pnl,eval_sortino,eval_drawdown,eval_ret_mean
2,3,0.9693,1.6798,1.7727,-27.4349,-1.5329,-13.3844,1.9551,-3.9274
2,4,1.4099,1.4575,0.5776,21.1350,1.3115,15.7533,6.3608,-1.8344
2,5,1.9784,1.2880,0.6731,71.4028,3.5397,50.0000,0.0000,-2.0768
2,6,0.3384,1.3777,0.9233,-14.9638,-3.5055,-10.0002,0.0000,-2.5237
2,7,1.5696,1.0936,0.0027,60.1226,3.4663,50.0000,0.0000,-4.0892
2,8,1.5310,0.9196,1.0199,47.6142,2.7620,50.0000,2.5452,-2.6846
2,9,1.7180,0.7977,0.3460,46.3107,4.9096,50.0000,5.8022,-2.9313
2,10,1.7806,0.9168,0.4483,37.8842,4.7173,39.4026,14.8102,-5.9464
2,11,1.2154,0.7737,1.1964,170.5081,0.8076,221.8503,1.7787,-3.6809
2,12,1.4539,0.7823,1.4350,-24.6258,-2.6994,-7.7766,10.1866,-2.6117
2,13,0.5140,0.7494,0.5506,79.2512,3.8688,109.9454,9.3176,-2.1476
2,14,0.9899,0.5501,1.1046,27.3086,1.3689,50.0000,1.4039,-3.5191
2,15,1.6122,0.6422,1.3839,-24.6473,-6.1116,-15.2180,3.6288,-2.4723
2,16,1.6534,1.4152,0.9515,72.6590,3.7068,50.0000,4.4429,-3.6250
2,17,0.3395,1.8068,1.0752,91.3947,3.1136,50.0000,0.0000,-2.1889
2,18,1.4535,1.0650,0.5764,-16.2427,-1.8160,-10.5604,4.0891,-4.2982
2,19,1.5931,1.7357,1.0508,-38.3581,-5.8692,-15.7228,1.6346,-2.8216
2,20,2.0000,1.5268,0.7838,-34.1661,-6.8376,-13.4208,0.0000,-4.4026
2,21,1.1896,0.6877,1.5138,-31.3629,-6.5175,-12.6695,9.8406,-2.9846
2,22,2.0000,1.1392,0.7842,-21.3618,-2.0691,-13.2304,2.7438,-2.6742
2,23,0.8706,1.9303,2.0000,26.2901,1.9476,12.7413,0.0000,-2.4959
2,24,1.1492,0.7203,0.5762,51.1634,2.5592,72.3087,6.7075,-2.1058
2,25,1.7014,0.7687,0.9225,42.4147,2.3382,50.0000,0.0000,-2.5725
2,26,1.8728,0.9951,0.0000,58.3917,4.6119,50.0000,5.4373,-2.5977
2,27,0.7617,0.8265,1.1869,11.5696,1.1287,12.9575,0.0000,-3.5075
2,28,1.3798,0.7652,1.2127,-20.9449,-3.8721,-14.1515,3.9361,-2.5360
2,29,0.5962,0.0315,1.5081,-11.3011,-4.4926,-13.5837,5.4338,-3.5536
2,30,1.4797,0.3398,1.7491,-9.7858,-3.9332,-11.6719,0.0000,-4.2662
2,31,1.3729,0.9275,0.3928,49.8644,4.0510,50.0000,5.2775,-1.6721
2,32,1.0210,1.2757,0.1631,70.2249,6.3086,50.0000,0.0000,-4.1718
2,33,1.6167,1.0134,0.0000,-29.1900,-8.1238,-15.8441,1.0067,-3.9883
2,34,0.3580,1.3041,0.7141,-12.7953,-2.3242,-9.1735,0.0000,-2.8770
2,35,1.4010,2.0000,1.9512,-36.4303,-2.4123,-15.5331,1.0172,-3.8807
2,36,1.8136,1.1900,0.9976,-32.1668,-3.8697,-7.0971,16.7425,-3.3491
2,37,1.3352,1.7215,0.3280,-29.5150,-3.0776,-14.1651,3.1138,-2.8207
