recorded_at_utc,dataset_window,instrument,contract,bar_type,candle_mode,source_rows,strategy,calculation_mode,fast_length,slow_length,selection,take_profit_ticks,stop_loss_ticks,use_trailing_stop,trail_trigger_ticks,trail_offset_ticks,gross_pnl,fees,net_pnl,max_drawdown,net_to_drawdown,trade_count,fill_count,win_rate_pct,profit_factor,execution_backend,source_output,strategy_parameters
2026-08-09,2026-07-27T00:00:00.173Z/2026-08-02T23:59:26.210Z,GC,GCZ6,minute_1,standard,6584,VolumeAdaptiveHmaCross,incremental,10,30,fast_hma_10_30_combined_lb30_cutoff35_ema960_prior,0,0,false,0,0,-4160.00,2507.90,-6667.90,9335.20,-0.714275,405,410,45.2970,0.910672,prepared_cpu_reference,.run/replay-sweeps/gc-fast-hma-gates-20260809/10-30-gates-prior/runs/gcz6_fast_hma_10_30_gate_prior_20260809-000004/result.json,"{""session_filter"":""full_source"",""selection"":""fast_hma_10_30_combined_lb30_cutoff35_ema960_prior"",""native_volume_hma_cross.ema_gate.enabled"":true,""native_volume_hma_cross.ema_gate.ema_length"":960,""native_volume_hma_cross.volume_regime.lookback_bars"":30,""native_volume_hma_cross.volume_regime.invert_below_relative_volume"":0.35}"
2026-08-09,2026-08-03T00:00:00Z/2026-08-07T20:59:30.157Z,GC,GCZ6,minute_1,standard,6766,VolumeAdaptiveHmaCross,incremental,10,30,fast_hma_10_30_baseline_current,0,0,false,0,0,16960.00,4135.40,12824.60,13574.00,0.944792,667,672,39.7301,1.119141,prepared_cpu_reference,.run/replay-sweeps/gc-fast-hma-gates-20260809/10-30-gates-current/runs/gcz6_fast_hma_10_30_gate_current_20260809-000001/result.json,"{""session_filter"":""full_source"",""selection"":""fast_hma_10_30_baseline_current"",""native_volume_hma_cross.ema_gate.enabled"":false,""native_volume_hma_cross.ema_gate.ema_length"":960,""native_volume_hma_cross.volume_regime.lookback_bars"":30,""native_volume_hma_cross.volume_regime.invert_below_relative_volume"":0.0}"
2026-08-09,2026-08-03T00:00:00Z/2026-08-07T20:59:30.157Z,GC,GCZ6,minute_1,standard,6766,VolumeAdaptiveHmaCross,incremental,10,30,fast_hma_10_30_ema960_current,0,0,false,0,0,-17660.00,3304.60,-20964.60,22412.80,-0.935385,533,538,53.8462,0.807408,prepared_cpu_reference,.run/replay-sweeps/gc-fast-hma-gates-20260809/10-30-gates-current/runs/gcz6_fast_hma_10_30_gate_current_20260809-000002/result.json,"{""session_filter"":""full_source"",""selection"":""fast_hma_10_30_ema960_current"",""native_volume_hma_cross.ema_gate.enabled"":true,""native_volume_hma_cross.ema_gate.ema_length"":960,""native_volume_hma_cross.volume_regime.lookback_bars"":30,""native_volume_hma_cross.volume_regime.invert_below_relative_volume"":0.0}"
2026-08-09,2026-08-03T00:00:00Z/2026-08-07T20:59:30.157Z,GC,GCZ6,minute_1,standard,6766,VolumeAdaptiveHmaCross,incremental,10,30,fast_hma_10_30_volume_lb30_cutoff35_current,0,0,false,0,0,15150.00,3217.80,11932.20,13172.40,0.905849,519,524,42.0039,1.125317,prepared_cpu_reference,.run/replay-sweeps/gc-fast-hma-gates-20260809/10-30-gates-current/runs/gcz6_fast_hma_10_30_gate_current_20260809-000003/result.json,"{""session_filter"":""full_source"",""selection"":""fast_hma_10_30_volume_lb30_cutoff35_current"",""native_volume_hma_cross.ema_gate.enabled"":false,""native_volume_hma_cross.ema_gate.ema_length"":960,""native_volume_hma_cross.volume_regime.lookback_bars"":30,""native_volume_hma_cross.volume_regime.invert_below_relative_volume"":0.35}"
2026-08-09,2026-08-03T00:00:00Z/2026-08-07T20:59:30.157Z,GC,GCZ6,minute_1,standard,6766,VolumeAdaptiveHmaCross,incremental,10,30,fast_hma_10_30_combined_lb30_cutoff35_ema960_current,0,0,false,0,0,-17530.00,2566.80,-20096.80,20667.50,-0.972387,414,419,55.0725,0.794644,prepared_cpu_reference,.run/replay-sweeps/gc-fast-hma-gates-20260809/10-30-gates-current/runs/gcz6_fast_hma_10_30_gate_current_20260809-000004/result.json,"{""session_filter"":""full_source"",""selection"":""fast_hma_10_30_combined_lb30_cutoff35_ema960_current"",""native_volume_hma_cross.ema_gate.enabled"":true,""native_volume_hma_cross.ema_gate.ema_length"":960,""native_volume_hma_cross.volume_regime.lookback_bars"":30,""native_volume_hma_cross.volume_regime.invert_below_relative_volume"":0.35}"
2026-08-09,2026-07-27T22:00:00.371Z/2026-08-02T23:59:59Z,GC,GCZ6,volume_500,heikin_ashi,903,VolumeAdaptiveEmaCross,streaming,21,100,volume_ema_v500_baseline_prior,60,0,false,0,0,-2100.00,43.40,-2143.40,5115.50,-0.419001,7,14,71.4286,0.580745,batch_cpu_reference,.run/replay-sweeps/this-week-20260807/gc-ema-v500-gated-prior/runs/gc-week-ema-v500-gated-prior-20260809-000001/result.json,"{""session_filter"":""full_source"",""selection"":""volume_ema_v500_baseline_prior"",""native_volume_ema_cross.volume_regime.lookback_bars"":30,""native_volume_ema_cross.volume_regime.invert_below_relative_volume"":0.0,""native_volume_ema_cross.ema_gate.enabled"":false,""native_volume_ema_cross.ema_gate.ema_length"":960}"
2026-08-09,2026-07-27T22:00:00.371Z/2026-08-02T23:59:59Z,GC,GCZ6,volume_500,heikin_ashi,903,VolumeAdaptiveEmaCross,streaming,21,100,volume_ema_v500_volume_gate_prior,60,0,false,0,0,-2100.00,43.40,-2143.40,5115.50,-0.419001,7,14,71.4286,0.580745,batch_cpu_reference,.run/replay-sweeps/this-week-20260807/gc-ema-v500-gated-prior/runs/gc-week-ema-v500-gated-prior-20260809-000003/result.json,"{""session_filter"":""full_source"",""selection"":""volume_ema_v500_volume_gate_prior"",""native_volume_ema_cross.volume_regime.lookback_bars"":30,""native_volume_ema_cross.volume_regime.invert_below_relative_volume"":0.35,""native_volume_ema_cross.ema_gate.enabled"":false,""native_volume_ema_cross.ema_gate.ema_length"":960}"
2026-08-09,2026-07-27T22:00:00.371Z/2026-08-02T23:59:59Z,GC,GCZ6,volume_500,heikin_ashi,903,VolumeAdaptiveEmaCross,streaming,21,100,volume_ema_v500_ema960_gate_prior,60,0,false,0,0,0.00,0.00,0.00,0.00,0.000000,0,0,,,batch_cpu_reference,.run/replay-sweeps/this-week-20260807/gc-ema-v500-gated-prior/runs/gc-week-ema-v500-gated-prior-20260809-000002/result.json,"{""session_filter"":""full_source"",""selection"":""volume_ema_v500_ema960_gate_prior"",""native_volume_ema_cross.volume_regime.lookback_bars"":30,""native_volume_ema_cross.volume_regime.invert_below_relative_volume"":0.0,""native_volume_ema_cross.ema_gate.enabled"":true,""native_volume_ema_cross.ema_gate.ema_length"":960}"
2026-08-09,2026-07-27T22:00:00.371Z/2026-08-02T23:59:59Z,GC,GCZ6,volume_500,heikin_ashi,903,VolumeAdaptiveEmaCross,streaming,21,100,volume_ema_v500_combined_gate_prior,60,0,false,0,0,0.00,0.00,0.00,0.00,0.000000,0,0,,,batch_cpu_reference,.run/replay-sweeps/this-week-20260807/gc-ema-v500-gated-prior/runs/gc-week-ema-v500-gated-prior-20260809-000004/result.json,"{""session_filter"":""full_source"",""selection"":""volume_ema_v500_combined_gate_prior"",""native_volume_ema_cross.volume_regime.lookback_bars"":30,""native_volume_ema_cross.volume_regime.invert_below_relative_volume"":0.35,""native_volume_ema_cross.ema_gate.enabled"":true,""native_volume_ema_cross.ema_gate.ema_length"":960}"
2026-08-09,2026-07-27T22:00:00.371Z/2026-08-02T23:59:59Z,GC,GCZ6,volume_500,heikin_ashi,903,VolumeAdaptiveEmaCross,streaming,21,100,volume_ema_v500_ema240_gate_prior,60,0,false,0,0,-5060.00,12.40,-5072.40,5072.40,-1.000000,2,4,0.0000,0.000000,batch_cpu_reference,.run/replay-sweeps/this-week-20260807/gc-ema-v500-gated-prior-ema-lengths/runs/gc-week-ema-v500-gated-prior-ema-lengths-20260809-000003/result.json,"{""session_filter"":""full_source"",""selection"":""volume_ema_v500_ema240_gate_prior"",""native_volume_ema_cross.volume_regime.lookback_bars"":30,""native_volume_ema_cross.volume_regime.invert_below_relative_volume"":0.0,""native_volume_ema_cross.ema_gate.enabled"":true,""native_volume_ema_cross.ema_gate.ema_length"":240}"
2026-08-09,2026-07-27T22:00:00.371Z/2026-08-02T23:59:59Z,GC,GCZ6,volume_500,heikin_ashi,903,VolumeAdaptiveEmaCross,streaming,21,100,volume_ema_v500_ema480_gate_prior,60,0,false,0,0,-4370.00,6.20,-4376.20,4376.20,-1.000000,1,2,0.0000,0.000000,batch_cpu_reference,.run/replay-sweeps/this-week-20260807/gc-ema-v500-gated-prior-ema-lengths/runs/gc-week-ema-v500-gated-prior-ema-lengths-20260809-000007/result.json,"{""session_filter"":""full_source"",""selection"":""volume_ema_v500_ema480_gate_prior"",""native_volume_ema_cross.volume_regime.lookback_bars"":30,""native_volume_ema_cross.volume_regime.invert_below_relative_volume"":0.0,""native_volume_ema_cross.ema_gate.enabled"":true,""native_volume_ema_cross.ema_gate.ema_length"":480}"
